fight_id,name,fighter_id,note
3859314324918eeb,Mike Davis,fb3e61720be4690c,"Lightweight bout; fb3e is the 155 lb 'Beast Boy' (b. 1992); c866 has no bio and no other fights"
7f33fbdc35afd721,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
775788423f5eeb99,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
4f20f3ada1489823,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
330506571d2778b1,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
031e6624f96aceb8,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
6a0217099efee13f,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
c2bcdcc472228768,Mike Davis,fb3e61720be4690c,"Lightweight bout; see above"
54de03e04f571735,Jean Silva,52ef95b5860fb28c,"2024 lightweight bout vs Drew Dober; 52ef 'Lord' (b. 1996) has 7 other fights 2024-2026; 9211 'White Bear' (b. 1977) has none"
3d6571790c21527c,Rafael Cerquiera,09a4447655fd4b7b,"Source typo for Rafael Cerqueira (205 lb); light heavyweight bout"
b6475543ab6d20c9,Rafael Cerquiera,09a4447655fd4b7b,"Source typo for Rafael Cerqueira (205 lb); light heavyweight bout"
781a2ea50f5ae68f,Rafael Cerquiera,09a4447655fd4b7b,"Source typo for Rafael Cerqueira (205 lb); light heavyweight bout"
